CombinacionID,PatronEolica,CostoTotal,SolucionValida,HorasCriticas
467,000000000000000111010011,105.00,SI,19
468,000000000000000111010100,112.50,SI,20
469,000000000000000111010101,110.00,SI,19
470,000000000000000111010110,105.00,SI,19
471,000000000000000111010111,101.00,SI,18
472,000000000000000111011000,105.00,SI,20
473,000000000000000111011001,102.50,SI,19
474,000000000000000111011010,105.00,SI,19
475,000000000000000111011011,97.50,SI,18
476,000000000000000111011100,105.00,SI,19
477,000000000000000111011101,102.50,SI,18
478,000000000000000111011110,96.00,SI,18
479,000000000000000111011111,91.00,SI,17
480,000000000000000111100000,112.50,SI,21
481,000000000000000111100001,110.00,SI,20
482,000000000000000111100010,112.50,SI,20
483,000000000000000111100011,105.00,SI,19
484,000000000000000111100100,112.50,SI,20
485,000000000000000111100101,110.00,SI,19
486,000000000000000111100110,105.00,SI,19
487,000000000000000111100111,101.00,SI,18
488,000000000000000111101000,112.50,SI,20
489,000000000000000111101001,110.00,SI,19
490,000000000000000111101010,112.50,SI,19
491,000000000000000111101011,105.00,SI,18
492,000000000000000111101100,105.00,SI,19
493,000000000000000111101101,102.50,SI,18
494,000000000000000111101110,105.00,SI,18
495,000000000000000111101111,96.00,SI,17
496,000000000000000111110000,103.50,SI,20
497,000000000000000111110001,101.00,SI,19
498,000000000000000111110010,103.50,SI,19
499,000000000000000111110011,96.00,SI,18
500,000000000000000111110100,103.50,SI,19
501,000000000000000111110101,101.00,SI,18
502,000000000000000111110110,96.00,SI,18
503,000000000000000111110111,92.00,SI,17
504,000000000000000111111000,98.50,SI,19
505,000000000000000111111001,96.00,SI,18
506,000000000000000111111010,98.50,SI,18
507,000000000000000111111011,91.00,SI,17
508,000000000000000111111100,93.50,SI,18
509,000000000000000111111101,91.00,SI,17
510,000000000000000111111110,88.50,SI,17
511,000000000000000111111111,83.50,SI,16
512,000000000000001000000000,120.00,SI,24
513,000000000000001000000001,117.50,SI,23
514,000000000000001000000010,120.00,SI,23
515,000000000000001000000011,112.50,SI,22
516,000000000000001000000100,120.00,SI,23
517,000000000000001000000101,117.50,SI,22
518,000000000000001000000110,112.50,SI,22
519,000000000000001000000111,108.50,SI,21
520,000000000000001000001000,120.00,SI,23
521,000000000000001000001001,117.50,SI,22
522,000000000000001000001010,120.00,SI,22
523,000000000000001000001011,112.50,SI,21
524,000000000000001000001100,112.50,SI,22
525,000000000000001000001101,110.00,SI,21
526,000000000000001000001110,112.50,SI,21
527,000000000000001000001111,103.50,SI,20
528,000000000000001000010000,120.00,SI,23
529,000000000000001000010001,117.50,SI,22
530,000000000000001000010010,120.00,SI,22
531,000000000000001000010011,112.50,SI,21
532,000000000000001000010100,120.00,SI,22
533,000000000000001000010101,117.50,SI,21
534,000000000000001000010110,112.50,SI,21
535,000000000000001000010111,108.50,SI,20
536,000000000000001000011000,112.50,SI,22
537,000000000000001000011001,110.00,SI,21
538,000000000000001000011010,112.50,SI,21
539,000000000000001000011011,105.00,SI,20
540,000000000000001000011100,112.50,SI,21
541,000000000000001000011101,110.00,SI,20
542,000000000000001000011110,103.50,SI,20
543,000000000000001000011111,98.50,SI,19
544,000000000000001000100000,120.00,SI,23
545,000000000000001000100001,117.50,SI,22
546,000000000000001000100010,120.00,SI,22
547,000000000000001000100011,112.50,SI,21
548,000000000000001000100100,120.00,SI,22
549,000000000000001000100101,117.50,SI,21
550,000000000000001000100110,112.50,SI,21
551,000000000000001000100111,108.50,SI,20
552,000000000000001000101000,120.00,SI,22
553,000000000000001000101001,117.50,SI,21
554,000000000000001000101010,120.00,SI,21
555,000000000000001000101011,112.50,SI,20
556,000000000000001000101100,112.50,SI,21
557,000000000000001000101101,110.00,SI,20
558,000000000000001000101110,112.50,SI,20
559,000000000000001000101111,103.50,SI,19
560,000000000000001000110000,112.50,SI,22
561,000000000000001000110001,110.00,SI,21
562,000000000000001000110010,112.50,SI,21
563,000000000000001000110011,105.00,SI,20
564,000000000000001000110100,112.50,SI,21
565,000000000000001000110101,110.00,SI,20
566,000000000000001000110110,105.00,SI,20
567,000000000000001000110111,101.00,SI,19
568,000000000000001000111000,112.50,SI,21
569,000000000000001000111001,110.00,SI,20
570,000000000000001000111010,112.50,SI,20
571,000000000000001000111011,105.00,SI,19
572,000000000000001000111100,103.50,SI,20
573,000000000000001000111101,101.00,SI,19
574,000000000000001000111110,98.50,SI,19
575,000000000000001000111111,93.50,SI,18
576,000000000000001001000000,120.00,SI,23
577,000000000000001001000001,117.50,SI,22
578,000000000000001001000010,120.00,SI,22
579,000000000000001001000011,112.50,SI,21
580,000000000000001001000100,120.00,SI,22
581,000000000000001001000101,117.50,SI,21
582,000000000000001001000110,112.50,SI,21
583,000000000000001001000111,108.50,SI,20
584,000000000000001001001000,120.00,SI,22
585,000000000000001001001001,117.50,SI,21
586,000000000000001001001010,120.00,SI,21
587,000000000000001001001011,112.50,SI,20
588,000000000000001001001100,112.50,SI,21
589,000000000000001001001101,110.00,SI,20
590,000000000000001001001110,112.50,SI,20
591,000000000000001001001111,103.50,SI,19
592,000000000000001001010000,120.00,SI,22
593,000000000000001001010001,117.50,SI,21
594,000000000000001001010010,120.00,SI,21
595,000000000000001001010011,112.50,SI,20
596,000000000000001001010100,120.00,SI,21
597,000000000000001001010101,117.50,SI,20
598,000000000000001001010110,112.50,SI,20
599,000000000000001001010111,108.50,SI,19
600,000000000000001001011000,112.50,SI,21
601,000000000000001001011001,110.00,SI,20
602,000000000000001001011010,112.50,SI,20
603,000000000000001001011011,105.00,SI,19
604,000000000000001001011100,112.50,SI,20
605,000000000000001001011101,110.00,SI,19
606,000000000000001001011110,103.50,SI,19
607,000000000000001001011111,98.50,SI,18
608,000000000000001001100000,112.50,SI,22
609,000000000000001001100001,110.00,SI,21
610,000000000000001001100010,112.50,SI,21
611,000000000000001001100011,105.00,SI,20
612,000000000000001001100100,112.50,SI,21
613,000000000000001001100101,110.00,SI,20
614,000000000000001001100110,105.00,SI,20
615,000000000000001001100111,101.00,SI,19
616,000000000000001001101000,112.50,SI,21
617,000000000000001001101001,110.00,SI,20
618,000000000000001001101010,112.50,SI,20
619,000000000000001001101011,105.00,SI,19
620,000000000000001001101100,105.00,SI,20
621,000000000000001001101101,102.50,SI,19
622,000000000000001001101110,105.00,SI,19
623,000000000000001001101111,96.00,SI,18
624,000000000000001001110000,112.50,SI,21
625,000000000000001001110001,110.00,SI,20
626,000000000000001001110010,112.50,SI,20
627,000000000000001001110011,105.00,SI,19
628,000000000000001001110100,112.50,SI,20
629,000000000000001001110101,110.00,SI,19
630,000000000000001001110110,105.00,SI,19
631,000000000000001001110111,101.00,SI,18
632,000000000000001001111000,103.50,SI,20
633,000000000000001001111001,101.00,SI,19
634,000000000000001001111010,103.50,SI,19
635,000000000000001001111011,96.00,SI,18
636,000000000000001001111100,98.50,SI,19
637,000000000000001001111101,96.00,SI,18
638,000000000000001001111110,93.50,SI,18
639,000000000000001001111111,88.50,SI,17
640,000000000000001010000000,120.00,SI,23
641,000000000000001010000001,117.50,SI,22
642,000000000000001010000010,120.00,SI,22
643,000000000000001010000011,112.50,SI,21
644,000000000000001010000100,120.00,SI,22
